;lon;lat;volume
52961;-34;-40;0,02
52960;-34,2;-40;0,03
52959;-34,4;-40;0,04
52958;-34,6;-40;0,06
52957;-34,8;-40;0,09
52956;-35;-40;0,17
52955;-35,2;-40;0,18
52954;-35,4;-40;0,34
52953;-35,6;-40;0,3
52952;-35,8;-40;0,12
52951;-36;-40;0,22
52950;-36,2;-40;0,16
52949;-36,4;-40;0,1
52948;-36,6;-40;0,04
52947;-36,8;-40;0,02
52946;-37;-40;0,06
52945;-37,2;-40;0,05
52944;-37,4;-40;0,05
52943;-37,6;-40;0,08
52942;-37,8;-40;0,15
52941;-38;-40;0,3
52940;-38,2;-40;0,23
52939;-38,4;-40;0,17
52938;-38,6;-40;0,15
52937;-38,8;-40;0,27
52936;-39;-40;0,79
52935;-39,2;-40;1,05
52934;-39,4;-40;1,22
52933;-39,6;-40;1,23
52932;-39,8;-40;1,15
52931;-40;-40;1,1
52930;-40,2;-40;1,91
52929;-40,4;-40;2,21
52928;-40,6;-40;3,03
52927;-40,8;-40;4,47
52926;-41;-40;5,6
52925;-41,2;-40;6,22
52924;-41,4;-40;7,64
52923;-41,6;-40;9,47
52922;-41,8;-40;10,61
52921;-42;-40;8,88
52920;-42,2;-40;6,21
52919;-42,4;-40;4,61
52918;-42,6;-40;3,5
52917;-42,8;-40;2,77
52916;-43;-40;2,66
52915;-43,2;-40;1,87
52914;-43,4;-40;1,34
52913;-43,6;-40;1,03
52912;-43,8;-40;0,64
52911;-44;-40;0,16
52910;-44,2;-40;0,07
52909;-44,4;-40;0,08
52908;-44,6;-40;0,08
52907;-44,8;-40;0,07
52906;-45;-40;0,13
52905;-45,2;-40;0,12
52904;-45,4;-40;0,19
52903;-45,6;-40;0,22
52902;-45,8;-40;0,19
52901;-46;-40;0,23
52900;-46,2;-40;0,28
52899;-46,4;-40;0,47
52898;-46,6;-40;0,68
52897;-46,8;-40;0,9
52896;-47;-40;1,09
52895;-47,2;-40;1,1
52894;-47,4;-40;1,5
52893;-47,6;-40;1,65
52892;-47,8;-40;1,62
52891;-48;-40;1,44
52890;-48,2;-40;2,45
52889;-48,4;-40;4,02
52888;-48,6;-40;5,56
52887;-48,8;-40;7,04
52886;-49;-40;9,2
52885;-49,2;-40;12,57
52884;-49,4;-40;12,17
52883;-49,6;-40;11,09
52882;-49,8;-40;11,61
52881;-50;-40;13,98
52880;-50,2;-40;17,28
52879;-50,4;-40;18,89
52878;-50,6;-40;19,79
52877;-50,8;-40;19,89
52876;-51;-40;18,1
52875;-51,2;-40;19,05
52874;-51,4;-40;21,49
52873;-51,6;-40;22,3
52872;-51,8;-40;20,37
52871;-52;-40;17,11
52870;-52,2;-40;18,72
52869;-52,4;-40;21,28
52868;-52,6;-40;25,67
52867;-52,8;-40;30,07
52866;-53;-40;25,27
52865;-53,2;-40;16,26
52864;-53,4;-40;17,89
52863;-53,6;-40;22,86
52862;-53,8;-40;24,51
52861;-54;-40;16,82
52860;-54,2;-40;14,23
52859;-54,4;-40;14,53
52858;-54,6;-40;14,93
52857;-54,8;-40;13,63
52856;-55;-40;11,07
52855;-55,2;-40;11,91
52854;-55,4;-40;12,58
52853;-55,6;-40;12,13
52852;-55,8;-40;10,26
52851;-56;-40;7,23
52850;-56,2;-40;7,55
52849;-56,4;-40;9,75
52848;-56,6;-40;12,13
