PSATAGV    -50.35  -19.89   0.20   1.60   3.30  10.70   5.00   7.10  13.50  11.80   6.50   2.20   2.10   3.50   4.20   5.40
PSATCMG    -44.63  -21.28  13.00  10.90   5.00  12.00  13.70   8.20   8.20  14.70  13.00  10.90   7.60   6.50   7.30   7.90
PSATCES    -48.16  -20.25   4.00   8.20   4.20  15.10   7.00   8.40  11.60  17.80   9.70   6.70   3.70   4.20   6.50   7.30
PSATELC    -46.95  -21.60   2.80   8.80   3.70  12.20   6.70   5.10   7.50  15.20   8.70   6.10   3.60   4.00   6.70   7.00
PSATFUN    -45.04  -21.14  13.00  14.80   4.90  12.40  13.10   8.50   8.40  14.90  14.00  11.40   7.20   6.10   7.20   8.50
PSATFUR    -46.32  -20.67   8.90   9.70   3.50  12.40   9.40   7.40   9.20  15.30  10.80   9.00   5.50   5.40   7.10   7.70
PSATMRB    -49.18  -20.30   1.20   4.50   3.00  11.90   5.50   6.50  11.10  14.80   8.00   4.70   2.90   3.50   5.00   5.80
PSATPRG    -45.67  -21.59   4.20   7.90   2.90  10.10   7.90   4.60   6.50  14.20  10.00   8.10   4.70   5.30   7.40   7.30
PSATPAS    -48.18  -21.02   0.30   5.10   2.80  12.40   5.30   4.50   8.20  12.90   7.70   4.70   2.50   2.70   5.20   5.40
PSATPTB    -45.49  -21.61  11.20   9.00   2.40  12.20  10.20   5.80   8.50  14.50  10.70   9.80   6.10   5.20   6.30   7.00
PSATPTC    -48.55  -20.00   6.00   7.50   4.50  12.30   7.30   7.80  11.10  16.30   9.80   6.40   4.10   4.70   6.50   7.80
PSATFZA    -51.65  -26.00   3.40   0.20   2.80   9.10   3.20  10.80  13.20   7.70   4.00   2.50   2.90   3.00   6.30   9.70
PSATJSG    -52.00  -25.78   0.80   0.10   2.80   8.20   3.40  15.80  16.20   8.20   3.60   2.10   1.50   1.80   6.00   8.00
PSATSCX    -53.48  -25.53   0.20   0.00   4.30   6.90   3.80  20.40  17.20   7.90   3.80   1.80   1.10   1.80   7.40   7.70
PSATSCL    -51.74  -25.49   1.60   0.00   3.90   9.20   3.50  10.20  13.60   7.90   4.20   2.20   2.20   2.30   8.30   9.20
PSATUVT    -51.08  -26.23   4.50   0.60   1.60   7.40   3.10   5.60   9.90   6.80   3.70   2.80   4.20   3.60   6.40   8.30
PSATBSM    -53.74  -24.19   0.10   0.00   8.70   6.30   6.30  25.00  18.70   7.80   2.90   1.30   1.40   2.20   7.90   9.80
PSATFLE    -54.56  -22.97   0.00   0.00  11.30   6.40  16.20  30.00  17.30   3.80   0.30   0.40   0.70   1.20   4.30   7.60
PSATITP    -54.58  -25.42   0.00   0.00   9.90   5.00  10.10  22.00  19.20   6.10   1.00   0.80   0.90   1.80   4.80   8.70
PSATIVM    -53.53  -22.38   0.00   0.00   7.10   8.50  12.80  21.00  16.10   3.60   0.30   0.20   0.40   0.90   1.70   3.80
PSATPTQ    -53.17  -23.18   0.30   0.00   6.70   7.70   3.90  16.60  15.60   8.30   3.40   1.20   1.90   2.50   6.40   8.60
PSATCBI    -48.54  -17.99   3.70   4.10   4.00   8.30   7.20   8.70  12.30   8.90   6.20   5.00   4.20   3.80   3.70   3.80
PSATCBIV   -48.67  -16.15   4.00   4.40   4.90   9.80   9.40   9.60  14.10  10.50   7.40   6.50   5.20   4.10   3.50   3.80
PSATEMB    -47.98  -18.45   6.90   4.60   4.90  12.30   9.40   9.30  10.70  12.70   9.50   8.90   6.50   5.60   6.50   5.90
PSATIMBR   -49.10  -18.42   5.40   3.90   4.50   9.30   7.00   8.90  12.50  12.10   8.40   5.60   4.70   3.90   6.20   5.30
PSATNPTE   -47.70  -19.13  11.00   5.90   5.00  11.60   8.20   7.80   9.10  13.00   9.10   7.50   6.10   5.20   6.70   6.60
PSATARV    -50.16  -18.07   2.10   2.70   5.70  10.30   9.30   9.90  15.10  12.00   8.80   4.60   4.20   5.10   6.10   5.90
PSATSFC    -47.68  -18.05   4.30   6.00   5.50  12.10  10.60  11.40  13.90  10.80   8.60   7.60   6.60   5.80   5.10   5.20
PSATSSM    -50.50  -19.02   2.10   3.10   5.50  10.20   7.70  10.50  14.90  12.90   8.10   4.40   3.50   4.20   5.80   5.80
PSATCNI    -50.52  -22.94   0.00   0.20   3.60  14.70   3.70   6.80  13.10  11.60   5.90   2.00   2.60   2.70   3.70   5.80
PSATCPV    -51.33  -22.65   0.00   0.00   4.50  11.70   3.00   9.00  15.30  11.70   4.40   1.60   2.80   2.70   4.00   7.00
PSATCHT    -49.73  -23.01   0.30   0.20   4.40  15.90   4.10   6.10  13.40  13.90   6.50   2.50   4.00   3.60   5.60   9.20
PSATJUR    -49.23  -23.22   0.20   1.00   3.10  12.70   4.40   4.80  10.70  13.40   8.50   3.60   3.20   3.10   5.60   6.60
PSATMAU    -50.71  -24.06   1.20   0.10   3.50  11.90   3.20   6.90  11.60   8.80   4.40   2.60   3.80   3.20   7.20   9.20
PSATROS    -52.87  -22.50   0.00   0.00   5.40   8.40   3.80  13.80  18.00   8.00   2.40   0.50   1.10   1.80   4.10   6.10
PSATQMD    -47.33  -16.21   2.80   4.00   4.20   9.50   9.00   8.80  12.50  11.80  11.60  11.50  10.00   7.40   6.40   6.50
PSATRBX    -44.76  -18.95   9.70  12.10   4.10  12.60  12.90   8.80   7.40  13.90  15.00  11.10   7.90   7.00   6.80   7.60
PSATSFR    -44.86  -15.93   0.90   1.70   1.80   4.60   4.80   4.70   5.10  13.10  14.60  15.80  12.00   8.40   8.30   8.30
PSATSRM    -45.07  -16.37   5.20   6.00   4.60  13.30  13.20  11.30  10.60  12.20  13.20  12.00   8.80   7.30   7.10   6.90
PSATTMR    -45.27  -18.16  10.10   7.90   4.80  14.00  13.50  10.50   9.90  14.40  12.60  10.10   8.00   7.30   7.20   7.90
PSATBOQ    -43.83  -11.35   1.20   4.10   5.20   6.50   5.30   5.20   7.50   6.00  11.80  13.70  11.90  10.30  10.10   8.00
PSATBBO    -48.55  -22.52   0.10   3.10   2.00  12.00   5.50   4.10   7.90  13.70   8.90   4.50   2.80   3.10   5.20   5.20
PSATESZ    -46.91  -23.46   0.40   3.90   1.60   5.40   5.40   2.60   4.60  11.90   8.50   5.70   4.30   3.70   4.90   5.60
PSATIBT    -48.99  -21.76   0.00   1.10   2.20  11.30   3.10   4.20   9.60   9.90   6.30   2.60   1.90   2.20   3.60   4.50
PSATNAV    -50.20  -21.12   0.00   1.00   2.50  11.50   4.40   6.80  13.70  11.10   6.00   1.80   2.30   2.70   3.10   5.10
PSATSME    -48.30  -13.40   3.10   3.30   4.30   9.10   9.20   8.60  14.30  13.70  11.50  10.90   9.00   7.20   6.70   6.90
PSATBGR    -51.20  -27.78   3.60   0.70   0.80   2.90   1.90   3.20   8.60   6.40   4.10   3.80   2.20   3.00   5.00   5.60
PSATCNV    -51.33  -27.60   4.20   0.60   1.30   4.40   2.80   5.40  10.50   7.30   3.80   3.10   2.30   3.50   5.70   5.80
PSATFCH    -53.04  -27.14   0.30   0.00   1.50   4.70   2.80  19.80  17.10   5.90   3.30   1.50   0.70   1.90   5.20   4.60
PSATITA    -52.38  -27.27   2.10   0.10   1.40   5.20   1.80  10.20  12.00   5.50   3.20   1.60   1.10   1.90   4.50   4.80
PSATMCD    -51.78  -27.52   0.80   0.00   1.10   3.20   1.20   8.30  11.90   4.50   2.70   1.40   0.60   1.30   3.00   3.10
PSATMOJ    -52.73  -27.35   0.50   0.00   1.30   3.00   2.30  19.90  15.10   4.40   2.20   0.90   0.50   1.60   2.80   2.70
PSATQQX    -52.54  -26.66   0.90   0.10   1.70   5.80   2.10   8.60  10.10   6.10   3.90   1.90   1.30   1.70   5.40   5.80
PSATPSJ    -55.05  -28.14   0.10   0.00   0.50   0.40   3.50  30.90  12.60   4.10   1.70   0.60   0.30   1.10   2.00   2.40
PSATESP    -51.87  -18.68   0.00   0.20   4.10  12.60   8.40  10.00  11.60   6.90   3.00   0.80   1.00   2.20   3.20   4.20
PSATSRC    -50.76  -19.16   0.20   0.40   3.90  12.50   8.70  10.40  12.70   9.60   4.40   1.30   1.40   3.00   4.10   5.40
PSATFRCL   -50.64  -19.12   0.40   0.90   4.20  12.30   9.20  10.40  13.40  10.40   5.40   1.50   1.70   3.30   4.20   5.30
PSATISOT   -51.35  -20.40   0.00   0.40   3.40   9.60   5.40   8.00  12.70   8.90   4.20   1.00   1.30   2.70   3.50   5.50
PSATJUP    -51.63  -20.86   0.00   0.00   3.90  10.50   7.00  10.80  15.90   8.70   2.70   0.40   0.90   1.90   3.20   5.30
PSATSDG    -53.18  -20.06   0.00   0.00   5.70  11.00   8.40  11.80  15.40   9.30   2.10   0.20   0.60   1.30   2.50   4.40
